n,m,d,b,strategy,mean_gap,std_gap
630,100,1.25,60,cmp,5.3500000000000005,1.0136567466356645
630,100,1.25,80,cmp,5.75,1.3219304066402282
630,100,1.25,100,cmp,5.8,1.445683229480096
676,100,1.25,1,cmp,5.6899999999999995,1.3955285736952865
676,100,1.25,20,cmp,5.539999999999999,0.9000000000000001
676,100,1.25,40,cmp,5.789999999999999,1.2835497652993435
676,100,1.25,60,cmp,5.4399999999999995,1.3638181696985856
676,100,1.25,80,cmp,5.989999999999999,1.1346805717910218
676,100,1.25,100,cmp,5.6899999999999995,1.0712142642814275
1000,100,1.25,1,cmp,6.2,1.0770329614269007
1000,100,1.25,20,cmp,6.3,1.1
1000,100,1.25,40,cmp,6.05,0.9205976319760985
1000,100,1.25,60,cmp,6.3,1.4177446878757822
1000,100,1.25,80,cmp,7.0,1.61245154965971
1000,100,1.25,100,cmp,6.3,1.2288205727444508
1342,100,1.25,1,cmp,6.730000000000001,1.2359207094308275
1342,100,1.25,20,cmp,6.43,1.0136567466356647
1342,100,1.25,40,cmp,6.58,1.1832159566199232
1342,100,1.25,60,cmp,6.779999999999999,1.5684387141358123
1342,100,1.25,80,cmp,7.780000000000001,2.293468988235943
1342,100,1.25,100,cmp,6.279999999999999,1.4866068747318506
1342,100,1.25,1080,cmp,9.280000000000003,1.676305461424021
1584,100,1.25,1,cmp,7.159999999999999,1.224744871391589
1584,100,1.25,20,cmp,6.859999999999999,1.4866068747318508
1584,100,1.25,40,cmp,6.659999999999999,1.0723805294763609
1584,100,1.25,60,cmp,8.41,2.426417111710186
1584,100,1.25,80,cmp,7.109999999999999,1.8020821290940099
1584,100,1.25,100,cmp,6.909999999999999,1.6085707942145415
1584,100,1.25,1080,cmp,8.559999999999999,1.3564659966250536
2008,100,1.25,1,cmp,7.8700000000000045,1.8020821290940099
2008,100,1.25,20,cmp,7.3700000000000045,1.7168284713389395
2008,100,1.25,40,cmp,7.570000000000005,1.6209565077447328
2008,100,1.25,60,cmp,8.120000000000005,2.4
2008,100,1.25,80,cmp,8.370000000000005,1.5644487847162014
2008,100,1.25,100,cmp,7.770000000000005,1.388344337691482
2008,100,1.25,1080,cmp,10.120000000000005,2.3151673805580453
2511,100,1.25,1,cmp,7.7399999999999975,1.5580436450882884
2511,100,1.25,20,cmp,8.889999999999997,2.3664319132398464
2511,100,1.25,40,cmp,8.189999999999998,1.268857754044952
2511,100,1.25,60,cmp,8.039999999999997,1.8781639970992947
2511,100,1.25,80,cmp,8.039999999999997,2.1511624764298953
2511,100,1.25,100,cmp,7.9899999999999975,1.3
2511,100,1.25,1080,cmp,10.539999999999997,1.6515144564913744
2511,100,1.25,2060,cmp,12.939999999999998,2.1788758569500923
2674,100,1.25,1,cmp,8.01,1.3738631664034087
2674,100,1.25,20,cmp,9.26,1.760681686165901
2674,100,1.25,40,cmp,8.959999999999999,1.8734993995195193
2674,100,1.25,60,cmp,9.01,1.7571283390805579
2674,100,1.25,80,cmp,7.859999999999999,1.3564659966250538
2674,100,1.25,100,cmp,8.559999999999999,1.676305461424021
2674,100,1.25,1080,cmp,9.61,1.3518505834595773
2674,100,1.25,2060,cmp,12.059999999999999,3.295451410656816
3340,100,1.25,1,cmp,8.4,2.039607805437114
3340,100,1.25,20,cmp,8.35,1.6695807857064
3340,100,1.25,40,cmp,8.9,2.6095976701399777
3340,100,1.25,60,cmp,8.6,2.0736441353327724
3340,100,1.25,80,cmp,9.15,2.0850659461993044
3340,100,1.25,100,cmp,8.45,1.7399712641305316
3340,100,1.25,1080,cmp,10.65,1.7741194999210173
3340,100,1.25,2060,cmp,11.8,2.2715633383201093
3340,100,1.25,3040,cmp,14.600000000000003,1.5491933384829668
3981,100,1.25,1,cmp,8.639999999999997,1.6874537030686207
3981,100,1.25,20,cmp,9.639999999999997,2.0850659461993044
3981,100,1.25,40,cmp,8.789999999999997,1.3928388277184118
3981,100,1.25,60,cmp,8.689999999999998,2.4186773244895647
3981,100,1.25,80,cmp,9.039999999999997,1.8513508581573617
3981,100,1.25,100,cmp,9.089999999999998,1.7291616465790582
3981,100,1.25,1080,cmp,10.589999999999998,2.477902338672773
3981,100,1.25,2060,cmp,12.439999999999998,1.9968725547715858
3981,100,1.25,3040,cmp,14.189999999999998,2.6645825188948455
4006,100,1.25,1,cmp,8.239999999999998,1.7058722109231983
4006,100,1.25,20,cmp,8.689999999999998,1.479019945774904
4006,100,1.25,40,cmp,10.189999999999998,2.7726341266023544
4006,100,1.25,60,cmp,9.039999999999997,1.841195263952197
4006,100,1.25,80,cmp,8.789999999999997,1.904599695474091
4006,100,1.25,100,cmp,9.539999999999997,2.0591260281974
4006,100,1.25,1080,cmp,9.789999999999997,1.7684739183827394
4006,100,1.25,2060,cmp,12.389999999999997,2.132486811213612
4006,100,1.25,3040,cmp,14.639999999999997,3.241913015489466
4672,100,1.25,1,cmp,8.98,2.12367605815953
4672,100,1.25,20,cmp,9.030000000000001,1.5124483462254175
4672,100,1.25,40,cmp,8.930000000000001,2.006863224038948
4672,100,1.25,60,cmp,9.330000000000002,2.67348087705897
4672,100,1.25,80,cmp,8.13,1.7684739183827394
4672,100,1.25,100,cmp,9.030000000000001,1.840516231930596
4672,100,1.25,1080,cmp,9.930000000000001,1.4585952145814822
4672,100,1.25,2060,cmp,13.030000000000001,3.2996211903792836
4672,100,1.25,3040,cmp,13.38,2.5670995305986875
4672,100,1.25,4020,cmp,15.779999999999996,2.7658633371878665
5338,100,1.25,1,cmp,9.569999999999999,2.3553131426627756
5338,100,1.25,20,cmp,9.169999999999998,1.7741194999210173
5338,100,1.25,40,cmp,9.12,1.8841443681416772
5338,100,1.25,60,cmp,9.27,1.8513508581573617
5338,100,1.25,80,cmp,9.27,2.688401011754013
5338,100,1.25,100,cmp,9.52,2.6057628441590768
5338,100,1.25,1080,cmp,11.419999999999998,2.0639767440550294
5338,100,1.25,2060,cmp,11.87,2.0463381929681126
5338,100,1.25,3040,cmp,13.719999999999999,2.9137604568666933
5338,100,1.25,4020,cmp,15.669999999999998,3.6397115270306792
5338,100,1.25,5000,cmp,17.22,2.2671568097509267
6004,100,1.25,1,cmp,9.060000000000002,2.4269322199023198
6004,100,1.25,20,cmp,8.860000000000003,2.6057628441590763
6004,100,1.25,40,cmp,9.110000000000003,1.8781639970992947
6004,100,1.25,60,cmp,9.310000000000002,2.1277922830953213
6004,100,1.25,80,cmp,10.010000000000002,2.7654113618049667
6004,100,1.25,100,cmp,9.160000000000002,1.2884098726725124
6004,100,1.25,1080,cmp,12.260000000000002,3.5791060336346563
6004,100,1.25,2060,cmp,11.760000000000002,0.812403840463596
6004,100,1.25,3040,cmp,14.51,2.3339880033967613
6004,100,1.25,4020,cmp,15.159999999999997,2.9257477676655586
6004,100,1.25,5000,cmp,15.909999999999997,4.200892762258994
6309,100,1.25,1,cmp,9.559999999999997,2.3296995514443486
6309,100,1.25,20,cmp,9.559999999999997,2.1511624764298953
6309,100,1.25,40,cmp,8.559999999999997,1.4585952145814822
6309,100,1.25,60,cmp,10.409999999999997,2.598076211353316
6309,100,1.25,80,cmp,9.859999999999996,2.2907422377910613
6309,100,1.25,100,cmp,9.009999999999996,2.071231517720798
6309,100,1.25,1080,cmp,10.809999999999997,1.8681541692269408
6309,100,1.25,2060,cmp,13.109999999999996,1.9390719429665317
6309,100,1.25,3040,cmp,14.659999999999997,3.3893214660164652
6309,100,1.25,4020,cmp,16.30999999999999,3.5128336140500593
6309,100,1.25,5000,cmp,16.859999999999992,3.800986713999406
6670,100,1.25,1,cmp,9.6,1.345362404707371
6670,100,1.25,20,cmp,9.4,2.022374841615669
6670,100,1.25,40,cmp,9.4,1.7860571099491753
6670,100,1.25,60,cmp,9.65,1.8781639970992947
6670,100,1.25,80,cmp,8.6,1.8734993995195195
6670,100,1.25,100,cmp,9.7,2.3537204591879637
6670,100,1.25,1080,cmp,11.55,2.6052830940226053
6670,100,1.25,2060,cmp,13.55,2.233271143412729
6670,100,1.25,3040,cmp,16.1,3.8807215823864514
6670,100,1.25,4020,cmp,15.6,3.6755951898978214
6670,100,1.25,5000,cmp,17.05,4.678407848830625
7336,100,1.25,1,cmp,9.589999999999998,2.0609463845524947
7336,100,1.25,20,cmp,9.889999999999997,2.5860201081971503
7336,100,1.25,40,cmp,8.639999999999997,1.5491933384829668
7336,100,1.25,60,cmp,9.639999999999997,2.0
7336,100,1.25,80,cmp,9.689999999999998,1.9358460682605938
7336,100,1.25,100,cmp,10.739999999999998,3.0479501308256336
7336,100,1.25,1080,cmp,11.139999999999997,1.8027756377319946
7336,100,1.25,2060,cmp,12.089999999999998,2.060946384552495
7336,100,1.25,3040,cmp,15.139999999999997,2.9410882339705484
7336,100,1.25,4020,cmp,16.29,3.636963018783666
7336,100,1.25,5000,cmp,16.439999999999998,2.420743687382041
8002,100,1.25,1,cmp,9.130000000000006,2.2863726730347356
8002,100,1.25,20,cmp,9.230000000000008,1.6393596310755
8002,100,1.25,40,cmp,8.530000000000006,1.5644487847162019
8002,100,1.25,60,cmp,9.780000000000006,1.9131126469708992
8002,100,1.25,80,cmp,9.880000000000006,2.3853720883753127
8002,100,1.25,100,cmp,9.430000000000007,2.4591665254715878
8002,100,1.25,1080,cmp,11.630000000000006,1.9306734576307822
8002,100,1.25,2060,cmp,13.430000000000007,1.8296174463531985
8002,100,1.25,3040,cmp,14.580000000000007,2.8530685235374214
8002,100,1.25,4020,cmp,16.930000000000007,3.9808918598726093
8002,100,1.25,5000,cmp,16.630000000000006,4.138538389335056
8668,100,1.25,1,cmp,9.419999999999993,2.0223748416156684
8668,100,1.25,20,cmp,8.819999999999993,1.5652475842498528
8668,100,1.25,40,cmp,9.019999999999992,1.9519221295943134
8668,100,1.25,60,cmp,9.919999999999993,1.6852299546352716
8668,100,1.25,80,cmp,9.769999999999992,1.5960889699512368
